"","a_Jon_14TR","b_Jon_14TR","a_NoJon_14TR","b_NoJon_14TR","a_Jon_14TR_abs","a_NoJon_14TR_abs","b_Jon_14TR_abs","b_NoJon_14TR_abs","Average"
"Adoration",-0.0841452093273809,0.0984193644521045,-0.128730011832862,0.139495651535007,0.0841452093273809,0.128730011832862,0.0984193644521045,0.139495651535007,0.112697559286839
"Aesthetic Appreciation",-0.0706322117309347,-0.0026703900698378,0.0568990185952693,-0.0379041037471527,0.0706322117309347,0.0568990185952693,0.0026703900698378,0.0379041037471527,0.0420264310357986
"Amusement",0.128479334672922,-0.0696341030548005,0.0533502109622666,0.0802959869847319,0.128479334672922,0.0533502109622666,0.0696341030548005,0.0802959869847319,0.0829399089186802
"Anxiety",0.511274761739888,0.176576518411628,0.0732444331005804,0.115042306961203,0.511274761739888,0.0732444331005804,0.176576518411628,0.115042306961203,0.219034505053325
"Awe",0.0456760651062393,0.030783702244858,0.0806005534575562,0.113378537947118,0.0456760651062393,0.0806005534575562,0.030783702244858,0.113378537947118,0.0676097146889429
"Boredom",0.1387561383791,-0.088287792695002,-0.0154567870089555,0.106337821957144,0.1387561383791,0.0154567870089555,0.088287792695002,0.106337821957144,0.0872096350100502
"Confusion",0.0265302262646399,0.0319125850933398,0.00135848737217738,0.024957054775297,0.0265302262646399,0.00135848737217738,0.0319125850933398,0.024957054775297,0.0211895883763635
"Craving",0.0567475379761931,0.0695271730977464,-0.0109311495726402,0.020459662935936,0.0567475379761931,0.0109311495726402,0.0695271730977464,0.020459662935936,0.0394163808956289
"Disgust",-0.23951245030319,-0.129231552343217,-0.0819408984680739,-0.110172637972149,0.23951245030319,0.0819408984680739,0.129231552343217,0.110172637972149,0.140214384771657
"Empathic Pain",-0.00907748971232192,0.0885148540528988,-0.0531186976545256,0.0278131681419079,0.00907748971232192,0.0531186976545256,0.0885148540528988,0.0278131681419079,0.0446310523904136
"Entrancement",-0.0627248311169805,0.124223800551788,0.136293347730261,0.068068556321729,0.0627248311169805,0.136293347730261,0.124223800551788,0.068068556321729,0.0978276339301898
"Excitement",-0.0156003856889025,0.103561535158654,-0.0765116970294725,0.0490119686453225,0.0156003856889025,0.0765116970294725,0.103561535158654,0.0490119686453225,0.0611713966305879
"Fear",0.0178544340776412,0.111859065370847,0.0295560159458365,-0.0351600432655852,0.0178544340776412,0.0295560159458365,0.111859065370847,0.0351600432655852,0.0486073896649775
"Horror",0.259608911393564,-0.0113547577966902,0.106185219114218,0.240427473352639,0.259608911393564,0.106185219114218,0.0113547577966902,0.240427473352639,0.154394090414278
"Interest",0.253129717707459,0.00987648343012322,0.12011992550861,0.00899540297309103,0.253129717707459,0.12011992550861,0.00987648343012322,0.00899540297309103,0.0980303824048206
"Joy",-0.0375667170566088,-0.101874642479402,-0.158598793255889,0.0748318179794061,0.0375667170566088,0.158598793255889,0.101874642479402,0.0748318179794061,0.0932179926928265
"Romance",-0.154489320769449,-0.0252737270383664,0.139147266914646,-0.181060041873837,0.154489320769449,0.139147266914646,0.0252737270383664,0.181060041873837,0.124992589149075
"Sadness",-0.273731023869616,0.159306385623704,-0.206554901158353,-0.209976151557785,0.273731023869616,0.206554901158353,0.159306385623704,0.209976151557785,0.212392115552365
"Sexual Desire",0.173633363032564,0.21675622720247,-0.0104832992864523,-0.181968255718332,0.173633363032564,0.0104832992864523,0.21675622720247,0.181968255718332,0.145710286309955
"Surprise",0.00232371572979651,0.130513767343762,-0.118378271576708,-0.0907270511037162,0.00232371572979651,0.118378271576708,0.130513767343762,0.0907270511037162,0.0854857014384955
